file	start_magic	done_magic	csr_num	csr_id	hart	minion	thread	status	before	after	delta	checksum
dump_pmc_probe_csr_cycle.bin	0x43535253	0x0	0xc00	0	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm10.bin	0x43535253	0x0	0xc0a	10	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm11.bin	0x43535253	0x0	0xc0b	11	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm12.bin	0x43535253	0x0	0xc0c	12	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm13.bin	0x43535253	0x0	0xc0d	13	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm14.bin	0x43535253	0x0	0xc0e	14	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm15.bin	0x43535253	0x0	0xc0f	15	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm16.bin	0x43535253	0x0	0xc10	16	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm17.bin	0x43535253	0x0	0xc11	17	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm18.bin	0x43535253	0x0	0xc12	18	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm19.bin	0x43535253	0x0	0xc13	19	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm20.bin	0x43535253	0x0	0xc14	20	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm21.bin	0x43535253	0x0	0xc15	21	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm22.bin	0x43535253	0x0	0xc16	22	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm23.bin	0x43535253	0x0	0xc17	23	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm24.bin	0x43535253	0x0	0xc18	24	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm25.bin	0x43535253	0x0	0xc19	25	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm26.bin	0x43535253	0x0	0xc1a	26	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm27.bin	0x43535253	0x0	0xc1b	27	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm28.bin	0x43535253	0x0	0xc1c	28	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm29.bin	0x43535253	0x0	0xc1d	29	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm3.bin	0x43535253	0x43535244	0xc03	3	0	0	0	done	341286701242272	341286703343321	2101049	8781341024599170697
dump_pmc_probe_csr_hpm30.bin	0x43535253	0x0	0xc1e	30	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm31.bin	0x43535253	0x0	0xc1f	31	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_hpm4.bin	0x43535253	0x43535244	0xc04	4	0	0	0	done	7314	908639	901325	8781341024599170697
dump_pmc_probe_csr_hpm5.bin	0x43535253	0x43535244	0xc05	5	0	0	0	done	6584	8080	1496	8781341024599170697
dump_pmc_probe_csr_hpm6.bin	0x43535253	0x43535244	0xc06	6	0	0	0	done	700	790	90	8781341024599170697
dump_pmc_probe_csr_hpm7.bin	0x43535253	0x43535244	0xc07	7	0	0	0	done	8223	309097	300874	8781341024599170697
dump_pmc_probe_csr_hpm8.bin	0x43535253	0x43535244	0xc08	8	0	0	0	done	34	54	20	8781341024599170697
dump_pmc_probe_csr_hpm9.bin	0x43535253	0x0	0xc09	9	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_instret.bin	0x43535253	0x0	0xc02	2	0	0	0	started_only	0	0	0	0
dump_pmc_probe_csr_time.bin	0x43535253	0x0	0xc01	1	0	0	0	started_only	0	0	0	0
